date,day_of_week,DJ_return,log_volume,log_volatility,train
12/3/1962,mon,-0.004461,0.032573,-13.12740255,TRUE
12/4/1962,tues,0.007813,0.346202,-11.74930472,TRUE
12/5/1962,wed,0.003845,0.525306,-11.66560904,TRUE
12/6/1962,thur,-0.003462,0.210182,-11.62677244,TRUE
12/7/1962,fri,0.000568,0.044187,-11.72813024,TRUE
12/10/1962,mon,-0.010824,0.133246,-10.87252632,TRUE
12/11/1962,tues,0.000124,-0.011528,-10.97779677,TRUE
12/12/1962,wed,0.003358,0.001607,-11.0123599,TRUE
12/13/1962,thur,-0.003296,-0.106437,-11.04710809,TRUE
12/14/1962,fri,0.004469,-0.138269,-11.02206339,TRUE
12/17/1962,mon,-0.00402,-0.049635,-11.02315352,TRUE
12/18/1962,tues,-0.008323,-0.043387,-10.74214941,TRUE
12/19/1962,wed,0.010659,0.053629,-10.38750086,TRUE
12/20/1962,thur,0.002393,0.104624,-10.47242687,TRUE
12/21/1962,fri,-0.003305,-0.088976,-10.53580194,TRUE
12/24/1962,mon,0.002009,-0.176311,-10.62442246,TRUE
12/26/1962,wed,0.006049,-0.118011,-10.57516056,TRUE
12/27/1962,thur,-0.001659,-0.03438,-10.66862323,TRUE
12/28/1962,fri,0.001336,0.083565,-10.76548993,TRUE
12/31/1962,mon,0.001028,0.346693,-10.86530508,TRUE
1/2/1963,wed,-0.008176,-0.413953,-10.64230136,TRUE
1/3/1963,thur,0.016301,0.16862,-9.942868294,TRUE
1/4/1963,fri,0.00729,0.328089,-9.932370889,TRUE
1/7/1963,mon,-0.000136,0.127959,-10.03768911,TRUE
1/8/1963,tues,0.011622,0.321242,-9.84796354,TRUE
1/9/1963,wed,-0.00281,0.263888,-9.936856143,TRUE
1/10/1963,thur,0.002258,0.140575,-10.03057098,TRUE
1/11/1963,fri,0.003117,0.113642,-10.11171367,TRUE
1/14/1963,mon,0.006145,0.238402,-10.11871948,TRUE
1/15/1963,tues,-0.027577,0.14005,-9.094045554,TRUE
