ID	Q1	Q2	Q3	Q4	Q5	Q6
1	8	9	10	9.5	10	8
2	8	8	8	10	9	8
3	10	7	10	10	10	8
4	6	5	9	8	5	
5	10	6	8	6		
6		9	10	10	10	
7	10	5	9	8	10	7
8	10	10	10	9	10	7
9	10	10	6	7	8	10
10	8	10	10	4	10	7
11	10		4	7	9	
12	6	8	5	8	10	8
13	10	10	8	10	10	9
14	10	10	10	10	9	8
15	10	10	10	10	10	10
16	10	8	9	6	9	6
17	10		9		6	9
18	10	10	10	7	6	9
19	10	7	7	7	10	8
20	10	10	10	10	10	8
21	10	9	10	8.5	10	5
22	10	10	10	7	10	7
23	10	10		9	10	9
24	10	10	10	10	9	9
25	10	9	8	6	9	8
26	10	9	8	9.5	8	8
27	10	10	10	10	10	10
28		4	8	5	10	9
29	6	9	4	5	9	0
30	10	9	10	9	5	7
31	10	10	10	7	6	
32	10	10	10	10	9	9
33	10	8	8	6	9	7
34	10	10	6	8	8	9
35	10	10	7	8	10	10
36	8	7	5	8	5	0
37	10	10	10	9.5	7	8
38	6	9	10	9.5	9	8
39	10	7	10	10	9	7
40	10	10	10	8	10	8
